date,total_cases_filter
2020-03-03,0.0
2020-03-04,0.0
2020-03-05,0.0
2020-03-06,0.5999999999999999
2020-03-07,1.1999999999999997
2020-03-08,1.7999999999999996
2020-03-09,2.3999999999999995
2020-03-10,2.9999999999999996
2020-03-11,2.9999999999999996
2020-03-12,2.9999999999999996
2020-03-13,3.3999999999999995
2020-03-14,4.399999999999999
2020-03-15,5.799999999999999
2020-03-16,7.999999999999998
2020-03-17,10.799999999999997
2020-03-18,13.799999999999997
2020-03-19,17.199999999999996
2020-03-20,20.599999999999994
2020-03-21,24.4
2020-03-22,28.799999999999994
2020-03-23,32.599999999999994
2020-03-24,36.39999999999999
2020-03-25,40.599999999999994
2020-03-26,43.599999999999994
2020-03-27,45.39999999999999
2020-03-28,47.39999999999999
2020-03-29,48.8
2020-03-30,49.99999999999999
2020-03-31,51.599999999999994
2020-04-01,54.19999999999999
2020-04-02,58.39999999999999
2020-04-03,65.79999999999998
2020-04-04,79.59999999999998
2020-04-05,101.19999999999999
2020-04-06,132.59999999999997
2020-04-07,184.59999999999997
2020-04-08,251.79999999999995
2020-04-09,323.5999999999999
2020-04-10,414.99999999999994
2020-04-11,531.9999999999999
2020-04-12,668.3999999999999
2020-04-13,829.7999999999998
2020-04-14,1047.7999999999997
2020-04-15,1291.1999999999998
2020-04-16,1559.3999999999996
2020-04-17,1848.1999999999996
2020-04-18,2191.5999999999995
2020-04-19,2553.5999999999995
2020-04-20,2940.3999999999996
2020-04-21,3348.7999999999993
2020-04-22,3795.3999999999996
2020-04-23,4205.399999999999
2020-04-24,4612.199999999999
2020-04-25,5040.4
2020-04-26,5495.5999999999985
2020-04-27,5978.399999999999
2020-04-28,6512.199999999999
2020-04-29,7076.5999999999985
2020-04-30,7651.999999999998
2020-05-01,8250.599999999999
2020-05-02,8858.599999999999
2020-05-03,9510.999999999998
2020-05-04,10207.199999999999
2020-05-05,10934.199999999997
2020-05-06,11669.999999999998
2020-05-07,12395.399999999998
2020-05-08,13140.999999999996
2020-05-09,13935.399999999998
2020-05-10,14782.399999999996
2020-05-11,15719.999999999996
2020-05-12,16738.6
2020-05-13,17820.199999999997
2020-05-14,18880.999999999996
2020-05-15,20002.6
2020-05-16,21212.199999999997
2020-05-17,22463.799999999996
2020-05-18,23798.399999999994
2020-05-19,25301.599999999995
2020-05-20,26888.999999999996
2020-05-21,28530.59999999999
2020-05-22,30228.399999999994
2020-05-23,31997.799999999992
2020-05-24,33645.799999999996
2020-05-25,35263.2
2020-05-26,36911.799999999996
2020-05-27,38758.59999999999
2020-05-28,40563.19999999999
2020-05-29,42643.59999999999
2020-05-30,44891.99999999999
2020-05-31,47316.79999999999
2020-06-01,49775.999999999985
2020-06-02,52366.99999999999
2020-06-03,55014.59999999999
2020-06-04,57712.999999999985
2020-06-05,60377.79999999999
2020-06-06,63050.599999999984
2020-06-07,65872.99999999999
2020-06-08,68767.79999999999
2020-06-09,71772.99999999999
2020-06-10,74923.79999999999
2020-06-11,78098.79999999999
2020-06-12,81267.79999999999
2020-06-13,84418.59999999998
2020-06-14,87704.4
2020-06-15,91097.59999999998
2020-06-16,94680.19999999998
2020-06-17,98283.19999999998
2020-06-18,101914.39999999998
2020-06-19,105479.4
2020-06-20,108938.79999999999
2020-06-21,112319.99999999997
2020-06-22,115744.99999999997
2020-06-23,119311.19999999998
2020-06-24,122944.79999999997
2020-06-25,126583.19999999998
2020-06-26,130300.99999999997
2020-06-27,134129.19999999998
2020-06-28,137904.59999999998
2020-06-29,141661.39999999997
2020-06-30,145521.19999999998
2020-07-01,149241.99999999997
2020-07-02,152817.59999999998
2020-07-03,156204.39999999997
2020-07-04,159476.39999999997
2020-07-05,162549.99999999997
2020-07-06,165698.59999999998
2020-07-07,168861.59999999998
2020-07-08,172066.79999999996
2020-07-09,175168.99999999994
2020-07-10,178199.0
2020-07-11,181150.99999999994
2020-07-12,184063.59999999998
2020-07-13,187092.99999999994
2020-07-14,190131.79999999996
2020-07-15,193244.19999999995
2020-07-16,196278.59999999998
2020-07-17,199172.19999999995
2020-07-18,201944.79999999996
2020-07-19,204782.19999999995
2020-07-20,207561.59999999998
2020-07-21,210370.39999999997
2020-07-22,213196.99999999994
2020-07-23,215941.99999999994
2020-07-24,218530.59999999995
2020-07-25,221124.79999999996
2020-07-26,223739.79999999996
2020-07-27,226446.99999999994
2020-07-28,229189.19999999995
2020-07-29,232030.79999999993
2020-07-30,234757.8
2020-07-31,237069.99999999994
2020-08-01,239051.59999999998
2020-08-02,240877.79999999993
2020-08-03,242680.39999999994
2020-08-04,244638.59999999995
2020-08-05,246989.79999999996
2020-08-06,249591.99999999997
2020-08-07,252307.99999999994
2020-08-08,255074.59999999998
2020-08-09,257844.99999999994
2020-08-10,260644.19999999995
2020-08-11,263444.6
2020-08-12,266300.79999999993
2020-08-13,269104.39999999997
2020-08-14,271713.6
2020-08-15,274242.79999999993
2020-08-16,276888.5999999999
2020-08-17,279530.6
2020-08-18,282217.3999999999
2020-08-19,284979.6
2020-08-20,287675.79999999993
2020-08-21,290126.5999999999
2020-08-22,292524.99999999994
2020-08-23,294858.79999999993
2020-08-24,297216.19999999995
2020-08-25,299607.79999999993
2020-08-26,302046.99999999994
2020-08-27,304415.39999999997
2020-08-28,306654.19999999995
2020-08-29,308823.99999999994
2020-08-30,310896.5999999999
2020-08-31,313043.39999999997
2020-09-01,315195.6
2020-09-02,317354.19999999995
2020-09-03,319467.99999999994
2020-09-04,321510.19999999995
2020-09-05,323476.3999999999
2020-09-06,325389.39999999997
2020-09-07,327281.99999999994
2020-09-08,329162.99999999994
2020-09-09,331084.0
2020-09-10,332820.99999999994
2020-09-11,334474.79999999993
2020-09-12,336125.5999999999
2020-09-13,337742.79999999993
2020-09-14,339324.6
2020-09-15,340968.5999999999
2020-09-16,342625.6
2020-09-17,344233.6
2020-09-18,345805.99999999994
2020-09-19,347395.99999999994
2020-09-20,348978.79999999993
2020-09-21,350586.6
2020-09-22,352188.9999999999
2020-09-23,353758.79999999993
2020-09-24,355209.19999999995
2020-09-25,356603.19999999995
2020-09-26,357945.3999999999
2020-09-27,359277.19999999995
2020-09-28,360619.5999999999
2020-09-29,362042.3999999999
2020-09-30,363489.3999999999
2020-10-01,364891.3999999999
2020-10-02,366220.79999999993
2020-10-03,367551.3999999999
2020-10-04,368880.19999999995
2020-10-05,370233.79999999993
2020-10-06,371639.19999999995
2020-10-07,373075.19999999995
2020-10-08,374463.3999999999
2020-10-09,375790.3999999999
2020-10-10,377107.79999999993
2020-10-11,378444.3999999999
2020-10-12,379862.1999999999
2020-10-13,381359.3999999999
2020-10-14,382923.3999999999
2020-10-15,384434.79999999993
2020-10-16,385893.6
2020-10-17,387342.99999999994
2020-10-18,388748.3999999999
2020-10-19,390157.3999999999
2020-10-20,391663.79999999993
2020-10-21,393232.5999999999
2020-10-22,394692.79999999993
2020-10-23,396138.59999999986
2020-10-24,397562.6
2020-10-25,398914.3999999999
2020-10-26,400247.5999999999
2020-10-27,401698.19999999995
2020-10-28,403207.9999999999
2020-10-29,404694.6
2020-10-30,406227.79999999993
2020-10-31,407809.5999999999
2020-11-01,409386.9999999999
2020-11-02,410946.9999999999
2020-11-03,412611.3999999999
2020-11-04,414255.99999999994
2020-11-05,415811.19999999995
2020-11-06,417329.3999999999
2020-11-07,418880.79999999993
2020-11-08,420403.6
2020-11-09,421979.19999999995
2020-11-10,423665.9999999999
2020-11-11,425411.3999999999
2020-11-12,427126.3999999999
2020-11-13,428868.9999999999
2020-11-14,430692.79999999993
2020-11-15,432589.9999999999
2020-11-16,434555.9999999999
2020-11-17,436688.5999999999
2020-11-18,438908.79999999993
2020-11-19,441070.59999999986
2020-11-20,443201.9999999999
2020-11-21,445394.9999999999
2020-11-22,447561.1999999999
2020-11-23,449703.5999999999
2020-11-24,451934.9999999999
2020-11-25,454208.9999999999
2020-11-26,456380.79999999993
2020-11-27,458464.1999999999
2020-11-28,460621.3999999999
2020-11-29,462778.79999999993
2020-11-30,464921.1999999999
2020-12-01,467145.19999999995
2020-12-02,469461.9999999999
2020-12-03,471633.3999999999
2020-12-04,473697.3999999999
2020-12-05,475761.3999999999
2020-12-06,477802.5999999999
2020-12-07,479825.19999999995
2020-12-08,481860.3999999999
2020-12-09,483921.19999999995
2020-12-10,485808.19999999984
2020-12-11,487525.79999999993
2020-12-12,489171.3999999999
2020-12-13,490820.19999999995
2020-12-14,492418.5999999999
2020-12-15,493977.9999999999
2020-12-16,495529.9999999999
2020-12-17,496975.59999999986
2020-12-18,498276.3999999999
2020-12-19,499544.7999999999
2020-12-20,500849.9999999999
2020-12-21,502164.9999999999
2020-12-22,503473.3999999999
2020-12-23,504783.79999999993
2020-12-24,505966.9999999999
2020-12-25,507096.3999999999
2020-12-26,508138.79999999993
2020-12-27,509170.59999999986
2020-12-28,510216.79999999993
2020-12-29,511298.9999999999
2020-12-30,512369.3999999999
2020-12-31,513390.1999999999
2021-01-01,514341.79999999993
2021-01-02,515228.3999999999
2021-01-03,516110.3999999999
2021-01-04,516989.9999999999
2021-01-05,517934.1999999999
2021-01-06,518868.3999999999
2021-01-07,519758.9999999999
2021-01-08,520665.5999999999
2021-01-09,521546.3999999999
2021-01-10,522369.3999999999
2021-01-11,523213.3999999999
2021-01-12,524081.5999999999
2021-01-13,524887.9999999999
2021-01-14,525640.2
2021-01-15,526362.5999999999
2021-01-16,527046.3999999999
2021-01-17,527708.0
2021-01-18,528348.3999999999
2021-01-19,528989.9999999999
2021-01-20,529641.5999999999
2021-01-21,530241.0
2021-01-22,530794.5999999999
2021-01-23,531337.3999999999
2021-01-24,531866.3999999999
2021-01-25,532377.2
2021-01-26,532902.5999999999
2021-01-27,533424.1999999998
2021-01-28,533897.9999999999
2021-01-29,534342.5999999999
2021-01-30,534770.2
2021-01-31,535201.0
2021-02-01,535628.5999999999
2021-02-02,536080.5999999999
2021-02-03,536545.7999999999
2021-02-04,536983.3999999999
2021-02-05,537374.3999999999
2021-02-06,537740.9999999999
2021-02-07,538087.9999999999
2021-02-08,538425.5999999999
2021-02-09,538777.7999999998
2021-02-10,539160.3999999999
2021-02-11,539537.9999999999
2021-02-12,539903.3999999999
2021-02-13,540280.3999999999
2021-02-14,540660.9999999999
2021-02-15,541041.3999999999
2021-02-16,541441.7999999998
2021-02-17,541858.2
2021-02-18,542255.3999999999
2021-02-19,542638.7999999998
2021-02-20,543006.7999999998
2021-02-21,543376.3999999999
2021-02-22,543750.3999999999
2021-02-23,544136.3999999999
2021-02-24,544550.9999999999
2021-02-25,544973.7999999999
2021-02-26,545393.7999999998
2021-02-27,545845.2
2021-02-28,546317.5999999999
2021-03-01,546818.7999999999
2021-03-02,547362.3999999999
2021-03-03,547955.9999999999
2021-03-04,548540.5999999999
2021-03-05,549143.3999999999
2021-03-06,549792.3999999999
2021-03-07,550499.9999999999
2021-03-08,551284.2
2021-03-09,552170.5999999999
2021-03-10,553148.9999999999
2021-03-11,554161.2
2021-03-12,555222.7999999998
2021-03-13,556435.3999999999
2021-03-14,557781.5999999999
2021-03-15,559287.5999999999
2021-03-16,561028.2
2021-03-17,562916.7999999999
2021-03-18,564824.3999999999
2021-03-19,566822.5999999999
2021-03-20,569009.5999999999
2021-03-21,571469.9999999999
2021-03-22,574263.9999999999
2021-03-23,577401.7999999998
2021-03-24,580852.5999999999
2021-03-25,584476.3999999999
2021-03-26,588170.9999999999
2021-03-27,592188.3999999999
2021-03-28,596496.7999999999
2021-03-29,601129.3999999999
2021-03-30,606320.9999999999
2021-03-31,612096.9999999999
2021-04-01,617973.3999999999
2021-04-02,624258.7999999998
2021-04-03,630887.5999999999
2021-04-04,637665.2
2021-04-05,644601.9999999999
2021-04-06,651772.9999999999
2021-04-07,659018.9999999998
2021-04-08,665918.5999999999
2021-04-09,672539.3999999999
2021-04-10,679075.2
2021-04-11,685445.7999999998
2021-04-12,691360.9999999999
2021-04-13,697045.9999999999
2021-04-14,702450.5999999999
2021-04-15,707109.5999999999
2021-04-16,711302.5999999999
2021-04-17,715312.7999999998
2021-04-18,719396.3999999999
2021-04-19,723452.5999999999
2021-04-20,727616.9999999999
2021-04-21,731767.5999999999
2021-04-22,735603.3999999999
2021-04-23,739111.7999999998
2021-04-24,742425.3999999999
2021-04-25,745542.3999999999
2021-04-26,748524.5999999999
2021-04-27,751435.5999999999
2021-04-28,754197.5999999999
2021-04-29,756588.7999999998
2021-04-30,758645.5999999999
2021-05-01,760459.1999999998
2021-05-02,762187.3999999999
2021-05-03,763828.5999999999
2021-05-04,765543.7999999998
2021-05-05,767323.5999999999
2021-05-06,769012.5999999999
2021-05-07,770595.9999999999
2021-05-08,772133.7999999998
2021-05-09,773553.1999999998
2021-05-10,774864.2
2021-05-11,776176.1999999998
2021-05-12,777380.5999999999
2021-05-13,778334.3999999998
2021-05-14,779114.7999999998
2021-05-15,779806.7999999998
2021-05-16,780495.1999999998
2021-05-17,781335.5999999999
2021-05-18,782415.1999999998
2021-05-19,783722.9999999998
2021-05-20,785096.7999999998
2021-05-21,786486.9999999998
2021-05-22,787843.7999999998
2021-05-23,789244.1999999998
2021-05-24,790643.1999999998
2021-05-25,792094.9999999999
2021-05-26,793547.5999999999
2021-05-27,794920.5999999999
2021-05-28,796247.3999999999
2021-05-29,797616.7999999998
2021-05-30,799080.7999999998
2021-05-31,800670.7999999998
2021-06-01,802389.5999999999
2021-06-02,804196.9999999998
2021-06-03,805951.7999999998
2021-06-04,807688.7999999998
2021-06-05,809422.1999999998
2021-06-06,811282.5999999999
2021-06-07,813272.9999999998
2021-06-08,815489.1999999998
2021-06-09,817860.9999999998
2021-06-10,820166.1999999998
2021-06-11,822494.2
2021-06-12,824924.7999999998
2021-06-13,827503.9999999998
2021-06-14,830383.5999999999
2021-06-15,833703.7999999998
2021-06-16,837313.3999999999
2021-06-17,840924.3999999998
2021-06-18,844599.7999999998
2021-06-19,848411.2
2021-06-20,852423.7999999998
2021-06-21,856805.1999999998
2021-06-22,861523.3999999997
2021-06-23,866241.5999999995
